dummy,evals,expr,fitness,length
0,200,1 / ((1 / (1.7628645) + ((-0.0068385941) * log_v_k_nu))),-0.06285122,5
0,201,(abs((0.28693077 / ((-1.321686) * log_v_k_nu))) ^ ((-0.6894533) + 0.065435782)),-3.7657518,7
0,202,1 / ((-1693.0996)),-3.298825,2
0,203,(0.97695303 * log_v_k_nu),-0.6505149,1
0,204,((0.025483966 * log_v_k_nu) + 1.7568665),-0.062790275,3
0,205,(abs(1 / (1.2569981)) ^ ((-1.1772068) * log_v_k_nu)),-0.2166209,4
0,206,(1 / ((-33.619659)) * (((-0.85692948) * log_v_k_nu) + (-59.065186))),-0.062790275,6
0,207,((0.31035784 * log_v_k_nu) + (0.59747279 * log_v_k_nu)),-0.63508445,3
0,208,1.7981994,-0.06317927,1
0,209,(0.90783036 * log_v_k_nu),-0.6350845,1
0,210,(1.7568581 - ((-0.025488794) * log_v_k_nu)),-0.062790275,3
0,211,((-0.47915715) * (-3.7528386)),-0.06317927,3
0,212,1.7981993,-0.06317929,1
0,213,(abs((215.97816 - (2602.644 * log_v_k_nu))) ^ 1 / (13.790452)),-0.04995419,6
0,214,((abs(2.332705) ^ 0.058818519) / 1 / (1.7108073)),-0.0631793,6
0,215,(1.3112147 / 0.72918224),-0.06317931,3
0,216,(1 / ((-0.81131369)) * ((-0.28003073) * log_v_k_nu)),-1.6575494,4
0,217,(abs(1 / (2.1587148)) ^ ((-0.34987071) * log_v_k_nu)),-0.21662088,4
0,218,(0.90783054 * log_v_k_nu),-0.6350844,1
0,219,1 / ((abs((0.60400248 * log_v_k_nu)) ^ (0.54451454 * log_v_k_nu))),-0.8141124,4
0,220,(1 / (0.9928332) / ((-0.91293126) * log_v_k_nu)),-3.4028235e+38,4
0,221,1 / ((-2183.9482)),-3.298347,2
0,222,(1 / ((-1173.4274)) - ((-0.90825832) * log_v_k_nu)),-0.63563985,4
0,223,(1.756858 + (0.025488764 * log_v_k_nu)),-0.062790275,3
0,224,1 / ((abs(0.30687872) ^ 0.49672833)),-0.06317934,4
0,225,1 / ((-1208.7013)),-3.2996764,2
0,226,(1 / (1 / (1 / ((0.68635976 * log_v_k_nu)))) * (2.4335427 - ((-0.025488704) * log_v_k_nu))),-3.4028235e+38,8
0,227,(1.756858 + (0.025488764 * log_v_k_nu)),-0.062790275,3
0,228,1 / (0.55611181),-0.06317927,2
0,229,1 / (1 / (((-0.18782426) * log_v_k_nu))),-4.511973,3
0,230,(abs((1 / (0.44551021) / 1.4626092)) ^ 1 / (0.72992718)),-0.06317928,7
0,231,1 / (((0.6853801 * log_v_k_nu) + ((-0.29017383) * log_v_k_nu))),-3.4028235e+38,4
0,232,1 / ((((-0.888982) - (0.66822696 * log_v_k_nu)) + ((-0.0068385941) * log_v_k_nu))),-5.559244,6
0,233,1 / (1 / (1 / (0.55610883))),-0.063179314,4
0,234,1 / (1 / (1.7981994)),-0.06317929,3
0,235,1 / (((0.11657183 - (-0.97907537)) / 1 / (0.50756466))),-0.06317927,7
0,236,(abs(((-3.9035847) - (0.16649008 * log_v_k_nu))) ^ 0.41053489),-0.06272904,5
0,237,(1.3112147 / 0.72918224),-0.06317931,3
0,238,(1 / ((1 / (3.7108424) + ((-0.0016568215) * log_v_k_nu))) + (-1.9501451)),-0.062822126,7
0,239,1 / (0.55610526),-0.0631793,2
0,240,(((-0.44970033) * log_v_k_nu) / (-0.40307891)),-0.7745814,3
0,241,(1.9373654 / 1.0773922),-0.06317931,3
0,242,1 / ((1 / ((-0.81131369)) * ((-0.28003073) * log_v_k_nu))),-3.4028235e+38,5
0,243,(1 / (0.52607447) - 0.10267195),-0.06317927,4
0,244,(1 / ((-1223.3838)) - ((-0.90819538) * log_v_k_nu)),-0.63561714,4
0,245,1 / ((1 / (1 / (1 / ((-262.04868)))) - 1940.6836)),-3.298554,7
0,246,(abs((((-0.0068385941) * log_v_k_nu) - ((-0.0064912643) * log_v_k_nu))) ^ (1 / (0.371209) - 0.10267195)),-3.2967005,8
0,247,(abs((1 / (1.0262474) * (-0.5645752))) ^ (abs((1.9980707 * log_v_k_nu)) ^ (-1.7864907))),-0.9477432,8
0,248,(abs(1 / (((-0.18782426) * log_v_k_nu))) ^ (0.49032217 * log_v_k_nu)),-0.39603063,4
0,249,1 / ((-1926.8442)),-3.2985675,2
0,250,(abs((1.0837677 - (0.021354305 * log_v_k_nu))) ^ (4.1992998 - ((-5.829978) * log_v_k_nu))),-0.042463806,7
0,251,1.7981993,-0.06317929,1
0,252,(1.7568436 - ((-0.02548939) * log_v_k_nu)),-0.06279028,3
