generation,individual_index,expression,fitness,nodes
1,78,((1.7785598097517281) - (((x0) - (x0)) + (-1.1937946222089868))) / (1.6531323062619183),-0.06301759104482342,9
1,79,(1/(-1.0345326645525006)) - ((-1.78030674841111) - (0.9843243436515079)),-0.06301759103812465,6
1,80,((0.39278305580939493) + (0.3352824237524956)) * ((0.308220882108904) + (abs(0.3027440074558761)**(-0.6450372016993952))),-0.06301759103812574,9
1,81,(abs(-1.0207147018150453)**(x0)) - (-0.7639585245968493),-0.06270298155836761,5
1,82,((x0) * (x0)) + ((-1.022687379126128) + (-0.432689480453901)),-7.095049082153641,7
1,83,(abs(-1.0207147018150453)**(x0)) - (-0.7639585245968493),-0.06270298155836761,5
1,84,((0.02453828187854208) * (x0)) + ((2.6949299642423816) + (1/(-1.0674155074512297))),-0.06265251369818793,8
1,85,abs(-1.7666196998250472)**(abs(1.018826573076763)**(x0)),-0.06272513210935995,5
1,86,1/(1/(1.798011029299246)),-0.06301759103812501,4
1,87,((-4.084669657246747) + ((1.096867173819561) * (x0))) / ((-1.8081816096210677) / (x0)),-0.17045652909228484,9
1,88,((5.708048223390097) - (x0)) / (abs(-1.3122313050661736)**(2.9618390715041265)),-0.1982864448821394,7
1,89,1/(x0),-inf,2
1,90,(1/(-22.458857070919144)) - (x0),-12.736658561706847,4
1,91,1/(-11.892951840252925),-3.6052971635490754,2
1,92,1.7980110450333406,-0.06301759103812461,1
1,93,(abs((0.19890323210962085) - (1/(0.41146909359674116)))**(-0.21522090278394657)) + (abs(-0.3872359941426554)**(abs(0.022355025037439216)**(x0))),-0.03622888799548259,12
1,94,1.7980110532865545,-0.06301759103812461,1
1,95,(abs(-1.2641164013594728)**((x0) / (-0.7334535873413655))) * ((1.4939435820431608) + (x0)),-0.04309105299499324,9
1,96,1/((-0.12467055760045925) - (1/(-1.468773217670174))),-0.06301759103951318,5
1,97,((-0.239298440768844) + (x0)) - (-0.41032578628813876),-0.639573821032194,5
1,98,((x0) + (4.1302729959780535)) * ((((-0.35335569911034315) - (-0.6517884017123691)) + (x0)) - (x0)),-0.1145141129198586,11
1,99,1/(1/((abs(-1.1147930121843788)**(-0.006740997652489938)) * (abs(1/(-1.5126606693919236))**(1/(-0.7045630049460572))))),-0.06301759103846782,11
2,0,(((-0.46592399270674906) - (0.26037247396678065)) + ((0.5941632679303598) - (0.26177143645117357))) - (1/((0.22123825800149846) / (-0.4849356323941638))),-0.06301759103813694,12
2,1,(abs(-1.6822243026516666)**(-0.047896005488684314)) + (abs(0.477063295401332)**(0.2638372324046778)),-0.063017591038214,7
2,2,((-0.45713465022547467) * (-0.7831295036758292)) + (1.4400142720418032),-0.06301759103943777,5
2,3,(abs(-7.450580852321518e-09)**(abs(x0)**(x0))) / ((1/(x0)) / ((-0.6015193769019997) - (0.14871166830257465))),-3.2958615461544833,12
2,4,((abs(-0.650349356812356)**(x0)) + (1.2616856829662977)) - (abs(x0)**(0.004820634116533624)),-1.1523323147130502,9
2,5,1.798011042658905,-0.06301759103812464,1
2,6,(((1.7657919603193708) + (0.10216221473477968)) - (-0.8164565957634561)) + (((0.04027861970453245) * (0.038530313566114284)) + (1/(-1.1261875349314647))),-0.06301759103813268,12
2,7,((x0) * (abs(-0.6358955539259219)**(2.505999800749888))) / (abs(0.1010100053329689)**(abs(-0.7246758622985155)**(x0))),-0.17844157107510447,11
2,8,1/((((0.24285328672199163) + (0.5833998545529931)) + (-0.6101071959298056)) + (0.3400238638985457)),-0.06301759103905843,8
2,9,(1/(-0.16795070399288295)) * (1/((1/(1.2235048755375633)) * ((-2.5571046456841424) - (x0)))),-0.23504032979245845,10
2,10,x0,-0.6688241748187845,1
2,11,((1/(-1.139731678534601)) - (x0)) + ((5.929377938627239) - (x0)),-2.5477768457721925,8
2,12,x0,-0.6688241748187845,1
2,13,((x0) - (x0)) + ((3.4249947368257763) - (x0)),-0.6990852659514577,7
2,14,1.7980110450333406,-0.06301759103812461,1
2,15,((x0) * (abs(0.7570029783060148)**(x0))) / (abs(-0.1339020093134264)**(abs(0.48120216042359787)**(x0))),-0.010950555672967557,11
2,16,(abs(0.9959594597635806)**((x0) * (x0))) / (x0),-inf,7
2,17,(abs(-1.020714252242243)**(x0)) - (-0.7639588625445158),-0.06270298155860557,5
2,18,((-0.5527769728971433) + (0.8838605999319659)) - (1/(-0.6816969871098982)),-0.06301759103812464,6
2,19,1.7980110499255453,-0.0630175910381246,1
2,20,1.798011067063311,-0.0630175910381249,1
2,21,((x0) * (0.9037386902403609)) - ((x0) - (x0)),-0.6386775021098048,7
2,22,(x0) / (1/(0.9037386815731548)),-0.638677502109805,4
2,23,(abs(1.0207143585275276)**(x0)) + (0.7639590389864531),-0.06270298155841236,5
2,24,(abs((-1.0897683836292449) + (0.07406590406014682))**((x0) * (0.8017949961759773))) / (0.5676137335177128),-0.06268341269802037,9
2,25,x0,-0.6688241748187845,1
2,26,((0.6440887814642796) + (-0.19221944278674885)) * ((x0) + (x0)),-0.6386775021098053,7
2,27,1/(1/(1.798011029299246)),-0.06301759103812501,4
2,28,((x0) * (x0)) - (abs(x0)**(-0.9145290319912651)),-inf,7
2,29,(x0) - (x0),-3.2958613259668508,3
2,30,((x0) + (2.7252579069086433)) * ((0.3683079787408901) * (1.081904445884829)),-0.15149666215281393,7
2,31,(0.4757396593459191) - (1/(-0.7562744107673797)),-0.06301759103812508,4
2,32,x0,-0.6688241748187845,1
2,33,(0.17102734499834593) + (x0),-0.6395738210321937,3
2,34,((-1.6121680496441941) * (-1.8191757440303367)) + ((0.49217844409760647) - (x0)),-0.699085265951953,7
2,35,(0.8922525395052123) + (0.9057585430342104),-0.06301759103812567,3
2,36,((1.5790954948063052) + (1.226773691696556)) - (abs(0.02373875675018747)**(-0.0020925053068420046)),-0.06301759103813481,7
2,37,(1.5200053581797317) * (1.1828995372600928),-0.06301759104480734,3
2,38,x0,-0.6688241748187845,1
2,39,abs(x0)**(abs((-0.7753424818480561) + (x0))**(abs(x0)**(x0))),-inf,9
2,40,1/(1/(1.7980110199025565)),-0.06301759103812549,3
2,41,1/(-10.804225259275412),-3.6372628048236564,2
2,42,((-0.19316272623917813) + (-0.114857366065428)) * ((-4.070314203301201) - (x0)),-0.11323700758622478,7
2,43,abs((x0) / (0.9281063164099426))**((x0) / (x0)),-inf,7
2,44,((0.029571971671513486) - (0.4090097624322939)) * (1/(x0)),-inf,6
2,45,((-0.258061740425492) + (0.6328846172701647)) * ((2.915915324945753) + (x0)),-0.14611503900496445,7
2,46,(2.2025639949108204) - (((-2.353773793361344) + (x0)) + (abs(-1.5223565581632212)**(0.293641093671713))),-0.6990852659514575,9
