dummy,evals,expr,fitness,len
0,186,(((log_v_k_nu - 94.413521) + (1 / 24.237009)) / (1 / (-0.019381206))),-0.06399619,9
0,197,((((-0.95709801) * 1.2104161) * (1 / (-0.020927195))) + ((-51.937782) - log_v_k_nu)),-0.6925051,10
0,172,(abs((abs((0.032621033 / 0.20796101)) ^ (1 / (-0.99239063)))) ^ 0.31436655),-0.063179314,8
0,136,((1 / ((-3.3702846) * 3.2088127)) * (((-68.925842) - log_v_k_nu) / 3.627727)),-0.062790275,10
0,198,(3.1889925 * (1 / log_v_k_nu)),-3.4028235e+38,4
0,115,((abs((log_v_k_nu / 1.4770116)) ^ 1.0633285) - ((-0.51436526) / (-0.31783763))),-5.656452,9
0,199,(((log_v_k_nu / log_v_k_nu) + log_v_k_nu) - (abs(8.3963604) ^ (-8.5461178))),-3.4028235e+38,9
0,200,(abs((log_v_k_nu / 0.46844706)) ^ log_v_k_nu),-15075.36,5
0,201,log_v_k_nu,-0.66251993,1
0,208,(1 / (log_v_k_nu + log_v_k_nu)),-3.4028235e+38,4
0,213,log_v_k_nu,-0.66251993,1
0,214,(1 / log_v_k_nu),-3.4028235e+38,2
0,216,((1 / log_v_k_nu) / 0.54416406),-3.4028235e+38,4
0,202,(abs((log_v_k_nu / 1.4770116)) ^ 1.0633285),-0.82332385,5
0,205,(abs(((1 / log_v_k_nu) * (1 / log_v_k_nu))) ^ (1 / 0.55611175)),-3.4028235e+38,8
0,211,(((1 / log_v_k_nu) - (log_v_k_nu * (-0.85889137))) / (abs(0.19341989) ^ log_v_k_nu)),-3.4028235e+38,10
0,207,(1 / 0.55610752),-0.06317931,2
0,204,((1 / 0.55610609) - (abs(8.3963604) ^ (-8.5461178))),-0.063179314,6
0,221,(3.4201446 - log_v_k_nu),-0.69250524,3
0,217,(1 / 0.55610758),-0.063179314,2
0,220,(1.7981873 / (1 / 1.0000072)),-0.0631793,4
0,203,(abs((-1.0106215)) ^ (-0.70707124)),-0.71223885,3
0,209,((log_v_k_nu + (-83.00087)) / ((-46.869354) + log_v_k_nu)),-0.06290435,7
0,222,(1 / 0.55610633),-0.063179314,2
0,224,(1 / (1 / 1.6271232)),-0.092446364,3
0,212,(1 / (-1995.1599)),-3.2985022,2
0,219,(abs(8.3963604) ^ (-8.5461178)),-3.2967005,3
